Name,Types,Abilities,Height,Weight,Base Experience,Flavor Text
nidorino,poison,"poison-point, rivalry, hustle",9,195,128,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.
nidoking,"poison, ground","poison-point, rivalry, sheer-force",14,620,253,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones."
clefairy,fairy,"cute-charm, magic-guard, friend-guard",6,75,113,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.
clefable,fairy,"cute-charm, magic-guard, unaware",13,400,242,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.
vulpix,fire,"flash-fire, drought",6,99,60,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older."
ninetales,fire,"flash-fire, drought",11,199,177,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.
jigglypuff,"normal, fairy","cute-charm, competitive, friend-guard",5,55,95,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep."
wigglytuff,"normal, fairy","cute-charm, competitive, frisk",10,120,218,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size."
zubat,"poison, flying","inner-focus, infiltrator",8,75,49,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.
golbat,"poison, flying","inner-focus, infiltrator",16,550,159,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly."
oddish,"grass, poison","chlorophyll, run-away",5,54,64,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
gloom,"grass, poison","chlorophyll, stench",8,86,138,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.
vileplume,"grass, poison","chlorophyll, effect-spore",12,186,245,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen."
paras,"bug, grass","effect-spore, dry-skin, damp",3,54,57,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.
parasect,"bug, grass","effect-spore, dry-skin, damp",10,295,142,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.
venonat,"bug, poison","compound-eyes, tinted-lens, run-away",10,300,61,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.
venomoth,"bug, poison","shield-dust, tinted-lens, wonder-skin",15,125,158,The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has.
diglett,ground,"sand-veil, arena-trap, sand-force",2,8,53,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.
dugtrio,ground,"sand-veil, arena-trap, sand-force",7,333,149,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.
meowth,normal,"pickup, technician, unnerve",4,42,58,It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.
persian,normal,"limber, technician, unnerve",10,320,154,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
psyduck,water,"damp, cloud-nine, swift-swim",8,196,64,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers."
golduck,water,"damp, cloud-nine, swift-swim",17,766,175,"Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa."
mankey,fighting,"vital-spirit, anger-point, defiant",5,280,61,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.
primeape,fighting,"vital-spirit, anger-point, defiant",10,320,159,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.
growlithe,fire,"intimidate, flash-fire, justified",7,190,70,Very protective of its territory. It will bark and bite to repel intruders from its space.
arcanine,fire,"intimidate, flash-fire, justified",19,1550,194,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.
poliwag,water,"water-absorb, damp, swift-swim",6,124,60,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.
poliwhirl,water,"water-absorb, damp, swift-swim",10,200,135,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy."
poliwrath,"water, fighting","water-absorb, damp, swift-swim",13,540,255,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.
abra,psychic,"synchronize, inner-focus, magic-guard",9,195,62,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety."
kadabra,psychic,"synchronize, inner-focus, magic-guard",13,565,140,It emits special alpha waves from its body that induce headaches just by being close by.
alakazam,psychic,"synchronize, inner-focus, magic-guard",15,480,250,"Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000."
machop,fighting,"guts, no-guard, steadfast",8,195,61,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.
machoke,fighting,"guts, no-guard, steadfast",15,705,142,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions."
machamp,fighting,"guts, no-guard, steadfast",16,1300,253,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon."
bellsprout,"grass, poison","chlorophyll, gluttony",7,40,60,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.
weepinbell,"grass, poison","chlorophyll, gluttony",10,64,137,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.
victreebel,"grass, poison","chlorophyll, gluttony",17,155,221,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
tentacool,"water, poison","clear-body, liquid-ooze, rain-dish",9,455,67,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.
tentacruel,"water, poison","clear-body, liquid-ooze, rain-dish",16,550,180,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey."
geodude,"rock, ground","rock-head, sturdy, sand-veil",4,200,60,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them."
graveler,"rock, ground","rock-head, sturdy, sand-veil",10,1050,137,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.
golem,"rock, ground","rock-head, sturdy, sand-veil",14,3000,223,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.
ponyta,fire,"run-away, flash-fire, flame-body",10,300,82,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.
rapidash,fire,"run-away, flash-fire, flame-body",17,950,175,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it."
slowpoke,"water, psychic","oblivious, own-tempo, regenerator",12,360,63,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.
slowbro,"water, psychic","oblivious, own-tempo, regenerator",16,785,172,The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps.
magnemite,"electric, steel","magnet-pull, sturdy, analytic",3,60,65,Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves.
magneton,"electric, steel","magnet-pull, sturdy, analytic",10,600,163,Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.
farfetchd,"normal, flying","keen-eye, inner-focus, defiant",8,150,132,The sprig of green onions it holds is its weapon. It is used much like a metal sword.
doduo,"normal, flying","run-away, early-bird, tangled-feet",14,392,62,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.
dodrio,"normal, flying","run-away, early-bird, tangled-feet",18,852,165,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake."
seel,water,"thick-fat, hydration, ice-body",11,900,65,The protruding horn on its head is very hard. It is used for bashing through thick ice.
dewgong,"water, ice","thick-fat, hydration, ice-body",17,1200,166,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.
grimer,poison,"stench, sticky-hold, poison-touch",9,300,65,Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.
muk,poison,"stench, sticky-hold, poison-touch",12,300,175,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison."
shellder,water,"shell-armor, skill-link, overcoat",3,40,61,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.
cloyster,"water, ice","shell-armor, skill-link, overcoat",15,1325,184,"When attacked, it launches its horns in quick volleys. Its innards have never been seen."
gastly,"ghost, poison",levitate,13,1,62,"Almost invisible, this gaseous POKéMON cloaks the target and puts it to sleep without notice."
haunter,"ghost, poison",levitate,16,1,142,"Because of its ability to slip through block walls, it is said to be from an­ other dimension."
gengar,"ghost, poison",cursed-body,15,405,250,"Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright."
onix,"rock, ground","rock-head, sturdy, weak-armor",88,2100,77,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black."
drowzee,psychic,"insomnia, forewarn, inner-focus",10,324,66,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.
hypno,psychic,"insomnia, forewarn, inner-focus",16,756,169,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION."
krabby,water,"hyper-cutter, shell-armor, sheer-force",4,65,65,"Its pincers are not only powerful weapons, they are used for balance when walking sideways."
kingler,water,"hyper-cutter, shell-armor, sheer-force",13,600,166,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use."
voltorb,electric,"soundproof, static, aftermath",5,104,66,"Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people."
electrode,electric,"soundproof, static, aftermath",12,666,172,It stores electric energy under very high pressure. It often explodes with little or no provocation.
exeggcute,"grass, psychic","chlorophyll, harvest",4,25,65,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms."
exeggutor,"grass, psychic","chlorophyll, harvest",20,1200,186,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE."
cubone,ground,"rock-head, lightning-rod, battle-armor",4,65,64,"Because it never removes its skull helmet, no one has ever seen this POKéMON's real face."
marowak,ground,"rock-head, lightning-rod, battle-armor",10,450,149,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.
hitmonlee,fighting,"limber, reckless, unburden",15,498,159,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides."
hitmonchan,fighting,"keen-eye, iron-fist, inner-focus",14,502,159,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see."
lickitung,normal,"own-tempo, oblivious, cloud-nine",12,655,77,Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies.
koffing,poison,"levitate, neutralizing-gas, stench",6,10,68,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning."
weezing,poison,"levitate, neutralizing-gas, stench",12,95,172,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years."
rhyhorn,"ground, rock","lightning-rod, rock-head, reckless",10,1150,69,"A POKéMON with a one-track mind. Once it charges,  it won't stop running until it falls asleep."
rhydon,"ground, rock","lightning-rod, rock-head, reckless",19,1200,170,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees."
chansey,normal,"natural-cure, serene-grace, healer",11,346,395,A rare and elusive POKéMON that is said to bring happiness to those who manage to get it.
tangela,grass,"chlorophyll, leaf-guard, regenerator",10,350,87,The whole body is swathed with wide vines that are similar to sea­ weed. Its vines shake as it walks.
kangaskhan,normal,"early-bird, scrappy, inner-focus",22,800,172,The infant rarely ventures out of its mother's protective pouch until it is 3 years old.
horsea,water,"swift-swim, sniper, damp",4,80,59,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.
seadra,water,"poison-point, sniper, damp",12,250,154,Capable of swim­ ming backwards by rapidly flapping its wing-like pectoral fins and stout tail.
goldeen,water,"swift-swim, water-veil, lightning-rod",6,150,64,"Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen."
seaking,water,"swift-swim, water-veil, lightning-rod",13,390,158,"In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks."
staryu,water,"illuminate, natural-cure, analytic",8,345,68,"If its body is torn, it can grow back if the red core remains. The core flashes at midnight."
starmie,"water, psychic","illuminate, natural-cure, analytic",11,800,182,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.
mr-mime,"psychic, fairy","soundproof, filter, technician",13,545,161,"If interrupted while it is miming, it will slap around the offender with its broad hands."
scyther,"bug, flying","swarm, technician, steadfast",15,560,100,"With ninja-like agility and speed, it can create the illusion that there is more than one."
jynx,"ice, psychic","oblivious, forewarn, dry-skin",14,406,159,It seductively wiggles its hips as it walks. It can cause people to dance in unison with it.
electabuzz,electric,"static, vital-spirit",11,300,172,"Normally found near power plants, they can wander away and cause major blackouts in cities."
magmar,fire,"flame-body, vital-spirit",13,445,173,Its body always burns with an orange glow that enables it to hide perfectly among flames.
pinsir,bug,"hyper-cutter, mold-breaker, moxie",15,550,175,"If it fails to crush the victim in its pincers, it will swing it around and toss it hard."
tauros,normal,"intimidate, anger-point, sheer-force",14,884,172,"When it targets an enemy, it charges furiously while whipping its body with its long tails."
magikarp,water,"swift-swim, rattled",9,100,40,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today."
gyarados,"water, flying","intimidate, moxie",65,2350,189,"Once it begins to rampage, a GYARADOS will burn everything down, even in a harsh storm."
lapras,"water, ice","water-absorb, shell-armor, hydration",25,2200,187,A POKéMON that has been over­ hunted almost to extinction. It can ferry people across the water.
ditto,normal,"limber, imposter",3,40,101,Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy.
eevee,normal,"run-away, adaptability, anticipation",3,65,65,Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.
vaporeon,water,"water-absorb, hydration",10,290,184,Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid's.
jolteon,electric,"volt-absorb, quick-feet",8,245,184,It accumulates negative ions in the atmosphere to blast out 10000- volt lightning bolts.
flareon,fire,"flash-fire, guts",9,250,184,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees."
porygon,normal,"trace, download, analytic",8,365,79,A POKéMON that consists entirely of programming code. Capable of moving freely in cyberspace.
omanyte,"rock, water","swift-swim, shell-armor, weak-armor",4,75,71,"Although long extinct, in rare cases, it can be genetically resurrected from fossils."
omastar,"rock, water","swift-swim, shell-armor, weak-armor",10,350,173,A prehistoric POKéMON that died out when its heavy shell made it impossible to catch prey.
kabuto,"rock, water","swift-swim, battle-armor, weak-armor",5,115,71,A POKéMON that was resurrected from a fossil found in what was once the ocean floor eons ago.
kabutops,"rock, water","swift-swim, battle-armor, weak-armor",13,405,173,Its sleek shape is perfect for swim­ ming. It slashes prey with its claws and drains the body fluids.
aerodactyl,"rock, flying","rock-head, pressure, unnerve",18,590,180,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
snorlax,normal,"immunity, thick-fat, gluttony",21,4600,189,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful."
articuno,"ice, flying","pressure, snow-cloak",17,554,290,A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains.
zapdos,"electric, flying","pressure, static",16,526,290,A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts.
moltres,"fire, flying","pressure, flame-body",20,600,290,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.
dratini,dragon,"shed-skin, marvel-scale",18,33,60,Long considered a mythical POKéMON until recently when a small colony was found living underwater.
dragonair,dragon,"shed-skin, marvel-scale",40,165,147,A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions.
dragonite,"dragon, flying","inner-focus, multiscale",22,2100,300,An extremely rarely seen marine POKéMON. Its intelligence is said to match that of humans.
mewtwo,psychic,"pressure, unnerve",20,1220,340,It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.
mew,psychic,synchronize,4,40,300,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.
chikorita,grass,"overgrow, leaf-guard",9,64,64,A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up the sun's rays.
bayleef,grass,"overgrow, leaf-guard",12,158,142,"The scent of spices comes from around its neck. Somehow, sniffing it makes you want to fight."
meganium,grass,"overgrow, leaf-guard",18,1005,236,The aroma that rises from its petals contains a substance that calms aggressive feelings.
cyndaquil,fire,"blaze, flash-fire",5,79,62,"It has a timid nature. If it is startled, the flames on its back burn more vigorously."
quilava,fire,"blaze, flash-fire",9,190,142,Be careful if it turns its back during battle. It means that it will attack with the fire on its back.
typhlosion,fire,"blaze, flash-fire",17,795,240,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames."
totodile,water,"torrent, sheer-force",6,95,63,Its well-developed jaws are powerful and capable of crushing anything. Even its trainer must be careful.
croconaw,water,"torrent, sheer-force",11,250,142,"If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth."
feraligatr,water,"torrent, sheer-force",23,888,239,"When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up."
sentret,normal,"run-away, keen-eye, frisk",8,60,43,"A very cautious POKéMON, it raises itself up using its tail to get a better view of its surroundings."
furret,normal,"run-away, keen-eye, frisk",18,325,145,It makes a nest to suit its long and skinny body. The nest is impossible for other POKéMON to enter.
hoothoot,"normal, flying","insomnia, keen-eye, tinted-lens",7,212,52,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen."
noctowl,"normal, flying","insomnia, keen-eye, tinted-lens",16,408,158,Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark.
ledyba,"bug, flying","swarm, early-bird, rattled",10,108,53,It is very timid. It will be afraid to move if it is alone. But it will be active if it is in a group.
ledian,"bug, flying","swarm, early-bird, iron-fist",14,356,137,"When the stars flicker in the night sky, it flutters about, scattering a glowing powder."
spinarak,"bug, poison","swarm, insomnia, sniper",5,85,50,"It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close."
ariados,"bug, poison","swarm, insomnia, sniper",11,335,140,It spins string not only from its rear but also from its mouth. It is hard to tell which end is which.
crobat,"poison, flying","inner-focus, infiltrator",18,750,268,It flies so si­ lently through the dark on its four wings that it may not be noticed even when nearby.
chinchou,"water, electric","volt-absorb, illuminate, water-absorb",5,120,66,Chinchou blink their shining antennae at one another to claim their respective turf.
lanturn,"water, electric","volt-absorb, illuminate, water-absorb",12,225,161,The light it emits is so bright that it can illuminate the sea's surface from a depth of over three miles.
pichu,electric,"static, lightning-rod",3,20,41,It is not yet skilled at storing electricity. It may send out a jolt if amused or startled.
cleffa,fairy,"cute-charm, magic-guard, friend-guard",3,30,44,"Because of its unusual, star-like silhouette, people believe that it came here on a meteor."
igglybuff,"normal, fairy","cute-charm, competitive, friend-guard",3,10,42,"It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop."
togepi,fairy,"hustle, serene-grace, super-luck",3,15,49,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.
togetic,"fairy, flying","hustle, serene-grace, super-luck",6,32,142,"They say that it will appear before kindhearted, car­ ing people and shower them with happiness."
natu,"psychic, flying","synchronize, early-bird, magic-bounce",2,20,64,"Because its wings aren't yet fully grown, it has to hop to get around. It is always star­ ing at something."
xatu,"psychic, flying","synchronize, early-bird, magic-bounce",15,150,165,They say that it stays still and quiet because it is seeing both the past and future at the same time.
mareep,electric,"static, plus",6,78,56,"If static elec­ tricity builds in its body, its fleece doubles in volume. Touching it will shock you."
flaaffy,electric,"static, plus",8,133,128,"As a result of storing too much electricity, it developed patches where even downy wool won't grow."
ampharos,electric,"static, plus",14,615,230,The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people.
bellossom,grass,"chlorophyll, healer",4,58,245,"Plentiful in the tropics. When it dances, its petals rub together and make a pleasant ringing sound."
marill,"water, fairy","thick-fat, huge-power, sap-sipper",4,85,88,"The tip of its tail, which con­ tains oil that is lighter than wa­ ter, lets it swim without drowning."
azumarill,"water, fairy","thick-fat, huge-power, sap-sipper",8,285,210,It lives in water virtually all day long. Its body color and pattern act as camouflage that makes it tough for enemies to spot in water.
sudowoodo,rock,"sturdy, rock-head, rattled",12,380,144,"Although it always pretends to be a tree, its composi­ tion appears to be closer to a rock than a plant."
politoed,water,"water-absorb, damp, drizzle",11,339,250,"If POLIWAG and POLIWHIRL hear its echoing cry, they respond by gather­ ing from far and wide."
hoppip,"grass, flying","chlorophyll, leaf-guard, infiltrator",4,5,50,"To keep from being blown away by the wind, they gather in clusters. They do enjoy gentle breezes, though."
skiploom,"grass, flying","chlorophyll, leaf-guard, infiltrator",6,10,119,The bloom on top of its head opens and closes as the temperature fluc­ tuates up and down.
jumpluff,"grass, flying","chlorophyll, leaf-guard, infiltrator",8,30,207,"Once it catches the wind, it deft­ ly controls its cotton-puff spores to float, even around the world."
aipom,normal,"run-away, pickup, skill-link",8,115,72,Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air.
sunkern,grass,"chlorophyll, solar-power, early-bird",3,18,36,"It may drop out of the sky suddenly. If attacked by a SPEAROW, it will violently shake its leaves."
sunflora,grass,"chlorophyll, solar-power, early-bird",8,85,149,"It converts sun­ light into energy. In the darkness after sunset, it closes its petals and becomes still."
yanma,"bug, flying","speed-boost, compound-eyes, frisk",12,380,78,"If it flaps its wings really fast, it can generate shock waves that will shatter win­ dows in the area."
wooper,"water, ground","damp, water-absorb, unaware",4,85,42,This POKéMON lives in cold water. It will leave the water to search for food when it gets cold outside.
quagsire,"water, ground","damp, water-absorb, unaware",14,750,151,"This carefree POKéMON has an easy-going nature. While swimming, it always bumps into boat hulls."
espeon,psychic,"synchronize, magic-bounce",9,265,184,It uses the fine hair that covers its body to sense air currents and predict its ene­ my's actions.
umbreon,dark,"synchronize, inner-focus",10,270,184,"When agitated, this POKéMON pro­ tects itself by spraying poisonous sweat from its pores."
murkrow,"dark, flying","insomnia, super-luck, prankster",5,21,81,"Feared and loathed by many, it is believed to bring misfortune to all those who see it at night."
slowking,"water, psychic","oblivious, own-tempo, regenerator",20,795,172,"It has incredible intellect and in­ tuition. Whatever the situation, it remains calm and collected."
misdreavus,ghost,levitate,7,10,87,It likes playing mischievous tricks such as screaming and wailing to startle people at night.
unown,psychic,levitate,5,50,118,Their shapes look like hieroglyphs on ancient tab­ lets. It is said that the two are somehow related.
wobbuffet,psychic,"shadow-tag, telepathy",13,285,142,"It hates light and shock. If attack­ ed, it inflates its body to pump up its counter­ strike."
girafarig,"normal, psychic","inner-focus, early-bird, sap-sipper",15,415,159,"Its tail has a small brain of its own. Beware! If you get close, it may react to your scent and bite."
pineco,bug,"sturdy, overcoat",6,72,58,It likes to make its shell thicker by adding layers of tree bark. The additional weight doesn't bother it.
forretress,"bug, steel","sturdy, overcoat",12,1258,163,Its entire body is shielded by a steel-hard shell. What lurks inside the armor is a total mystery.
dunsparce,normal,"serene-grace, run-away, rattled",15,140,145,"When spotted, this POKéMON escapes backward by furi­ ously boring into the ground with its tail."
gligar,"ground, flying","hyper-cutter, sand-veil, immunity",11,648,86,It flies straight at its target's face then clamps down on the star­ tled victim to inject poison.
steelix,"steel, ground","rock-head, sturdy, sheer-force",92,4000,179,It is thought its body transformed as a result of iron accumulating internally from swallowing soil.
snubbull,fairy,"intimidate, run-away, rattled",6,78,60,"Although it looks frightening, it is actually kind and affectionate. It is very popular among women."
granbull,fairy,"intimidate, quick-feet, rattled",14,487,158,"It is actually timid and easily spooked. If at­ tacked, it flails about to fend off its attacker."
qwilfish,"water, poison","poison-point, swift-swim, intimidate",5,39,88,"To fire its poison spikes, it must inflate its body by drinking over 2.6 gallons of water all at once."
scizor,"bug, steel","swarm, technician, light-metal",18,1180,175,It has a steel-hard body. It intimidates foes by upraising its eye-patterned pincers.
shuckle,"bug, rock","sturdy, gluttony, contrary",6,205,177,The BERRIES it stores in its vase-like shell decompose and become a gooey liquid.
heracross,"bug, fighting","swarm, guts, moxie",15,540,175,"It is usually docile, but if it is disturbed while sipping honey, it chases off the intruder with its horn."
sneasel,"dark, ice","inner-focus, keen-eye, pickpocket",9,280,86,"Its paws conceal sharp claws. If attacked, it sud­ denly extends the claws and startles its enemy."
teddiursa,normal,"pickup, quick-feet, honey-gather",6,88,66,"If it finds honey, its crescent mark glows. It always licks its paws because they are soaked with honey."
ursaring,normal,"guts, quick-feet, unnerve",18,1258,175,"Although it is a good climber, it prefers to snap trees with its forelegs and eat fallen BERRIES."
slugma,fire,"magma-armor, flame-body, weak-armor",7,350,50,"It never sleeps. It has to keep moving because if it stopped, its magma body would cool and harden."
